,year,business_id,personal_id,education_level,age,tenure,first_year_treatment,treatment,base_income
0,2010,151,1,medium,27,7,2015,0,29993.428306022466
1,2011,151,1,medium,28,8,2015,0,29223.47139765763
2,2012,151,1,medium,29,9,2015,0,31295.377076201385
3,2013,151,1,medium,30,10,2015,0,33546.05971281605
4,2014,151,1,medium,31,11,2015,0,30531.69325055333
5,2015,151,1,medium,32,12,2015,1,36031.72608610164
6,2016,151,1,medium,33,13,2015,1,40158.42563101478
7,2017,151,1,medium,34,14,2015,1,39034.86945830582
8,2018,151,1,medium,35,15,2015,1,37061.0512281301
9,2019,151,1,medium,36,16,2015,1,39585.12008717193
10,2020,151,1,medium,37,17,2015,1,38073.16461437508
11,2010,192,2,low,27,9,2013,0,26468.540492859487
12,2011,192,2,low,28,10,2013,0,28383.924543132067
13,2012,192,2,low,29,11,2013,0,24573.439510684402
14,2013,192,2,low,30,12,2013,1,30450.164334973935
15,2014,192,2,low,31,13,2013,1,33275.42494151805
16,2015,192,2,low,32,14,2013,1,32874.33775933115
17,2016,192,2,low,33,15,2013,1,36028.49466519055
18,2017,192,2,low,34,16,2013,1,34083.95184895758
19,2018,192,2,low,35,17,2013,1,33575.39259732942
20,2019,192,2,low,36,18,2013,1,39831.29753784311
21,2020,192,2,low,37,19,2013,1,36948.447399026925
22,2010,114,3,medium,30,4,2014,0,29435.056409375848
23,2011,114,3,medium,31,5,2014,0,26950.503627573085
24,2012,114,3,medium,32,6,2014,0,29211.234550949634
25,2013,114,3,medium,33,7,2014,0,31021.84517941973
26,2014,114,3,medium,34,8,2014,1,33998.0128451554
27,2015,114,3,medium,35,9,2014,1,37551.396036691345
28,2016,114,3,medium,36,10,2014,1,36098.72262016239
29,2017,114,3,medium,37,11,2014,1,37216.612500413445
30,2018,114,3,medium,38,12,2014,1,37096.586775541204
31,2019,114,3,medium,39,13,2014,1,42504.556369017875
32,2020,114,3,medium,40,14,2014,1,39273.00555052413
33,2010,171,4,medium,37,2,2016,0,28884.578142088198
34,2011,171,4,medium,38,3,2016,0,33145.08982420638
35,2012,171,4,medium,39,4,2016,0,29558.312700057955
36,2013,171,4,medium,40,5,2016,0,32917.72719000951
37,2014,171,4,medium,41,6,2016,0,29080.659752240448
38,2015,171,4,medium,42,7,2016,0,30843.627902203138
39,2016,171,4,medium,43,8,2016,1,39393.72247173825
40,2017,171,4,medium,44,9,2016,1,40976.93315999082
41,2018,171,4,medium,45,10,2016,1,40342.73656237994
42,2019,171,4,medium,46,11,2016,1,40268.70343522352
43,2020,171,4,medium,47,12,2016,1,40397.79260882142
44,2010,160,5,medium,48,7,2017,0,32342.956019265144
45,2011,160,5,medium,49,8,2017,0,34360.31158321058
46,2012,160,5,medium,50,9,2017,0,35378.722458080425
47,2013,160,5,medium,51,10,2017,0,38914.24445243783
48,2014,160,5,medium,52,11,2017,0,37987.23657913692
49,2015,160,5,medium,53,12,2017,0,34273.91968927453
50,2016,160,5,medium,54,13,2017,0,38948.16793878959
51,2017,160,5,medium,55,14,2017,1,43029.835439167364
52,2018,160,5,medium,56,15,2017,1,42946.15599938808
53,2019,160,5,medium,57,16,2017,1,46023.35257768173
54,2020,160,5,medium,58,17,2017,1,47361.9990449919
55,2010,120,6,low,53,6,2012,0,36462.5602382324
56,2011,120,6,low,54,7,2012,0,33421.56495355472
57,2012,120,6,low,55,8,2012,1,39981.57524829757
58,2013,120,6,low,56,9,2012,1,41762.52686280713
59,2014,120,6,low,57,10,2012,1,43551.090254244715
60,2015,120,6,low,58,11,2012,1,41141.65152430942
61,2016,120,6,low,59,12,2012,1,42228.682046672366
62,2017,120,6,low,60,13,2012,1,40887.33005198794
63,2018,120,6,low,61,14,2012,1,41207.58675183866
64,2019,120,6,low,62,15,2012,1,45725.05164478839
65,2020,120,6,low,63,16,2012,1,47312.48005714165
66,2010,182,7,medium,39,1,2016,0,31255.979756839333
67,2011,182,7,medium,40,2,2016,0,33907.065795784045
68,2012,182,7,medium,41,3,2016,0,33123.27205009527
69,2013,182,7,medium,42,4,2016,0,31609.76049078975
70,2014,182,7,medium,43,5,2016,0,34122.791211016825
71,2015,182,7,medium,44,6,2016,0,36976.07313293194
72,2016,182,7,medium,45,7,2016,1,39328.3479217801
73,2017,182,7,medium,46,8,2016,1,43029.28731162801
74,2018,182,7,medium,47,9,2016,1,35160.509791820514
75,2019,182,7,medium,48,10,2016,1,42543.805008750445
76,2020,182,7,medium,49,11,2016,1,41574.09413647634
77,2010,186,8,low,49,9,2017,0,33401.98529906826
