year,business_id,personal_id,education_level,age,tenure,firm_entry_year,firm_exit_year,first_year_treatment,treatment,base_income
2013,7370,1,low,39,9,2013,2015,2014,0,42597.450013027985
2014,7370,1,low,40,10,2013,2015,2014,1,50481.696038866496
2015,7370,1,low,41,11,2013,2015,2014,1,51544.977403848876
2013,960,2,medium,32,7,2013,2018,2018,0,43927.892434388596
2014,960,2,medium,33,8,2013,2018,2018,0,44583.30566250435
2015,960,2,medium,34,9,2013,2018,2018,0,45380.81817437497
2016,960,2,medium,35,10,2013,2018,2018,0,46515.6797331164
2017,960,2,medium,36,11,2013,2018,2018,0,47206.4099180626
2018,960,2,medium,37,12,2013,2018,2018,1,55131.67343785456
2010,5490,3,medium,29,4,2010,2017,2013,0,41099.499565419166
2011,5490,3,medium,30,5,2010,2017,2013,0,41933.469038544645
2012,5490,3,medium,31,6,2010,2017,2013,0,42781.28248246675
2013,5490,3,medium,32,7,2010,2017,2013,1,50756.83512511038
2014,5490,3,medium,33,8,2010,2017,2013,1,51609.059116942844
2015,5490,3,medium,34,9,2010,2017,2013,1,52738.95476561266
2016,5490,3,medium,35,10,2010,2017,2013,1,53382.41952657786
2017,5490,3,medium,36,11,2010,2017,2013,1,54258.658746267756
2008,5291,4,low,49,5,2008,2018,2009,0,43654.496682601246
2009,5291,4,low,50,6,2008,2018,2009,1,51558.72383868099
2010,5291,4,low,51,7,2008,2018,2009,1,52559.564365180435
2011,5291,4,low,52,8,2008,2018,2009,1,53200.84622134686
2012,5291,4,low,53,9,2008,2018,2009,1,54342.6025866834
2013,5291,4,low,54,10,2008,2018,2009,1,55145.871455836
2014,5291,4,low,55,11,2008,2018,2009,1,56177.68230044256
2015,5291,4,low,56,12,2008,2018,2009,1,56995.23562888429
2016,5291,4,low,57,13,2008,2018,2009,1,57951.86944577178
2017,5291,4,low,58,14,2008,2018,2009,1,58760.85981879182
2018,5291,4,low,59,15,2008,2018,2009,1,59743.802259742166
2012,5834,5,high,49,8,2012,2019,2017,0,54816.37697894483
2013,5834,5,high,50,9,2012,2019,2017,0,55476.076356854486
2014,5834,5,high,51,10,2012,2019,2017,0,56439.280552483884
2015,5834,5,high,52,11,2012,2019,2017,0,57301.378271424684
2016,5834,5,high,53,12,2012,2019,2017,0,58409.29817942595
2017,5834,5,high,54,13,2012,2019,2017,1,66106.605840099
2018,5834,5,high,55,14,2012,2019,2017,1,66976.73077986961
2019,5834,5,high,56,15,2012,2019,2017,1,67892.17230860359
2010,6365,6,low,33,6,2010,2017,2013,0,38936.428261768175
2011,6365,6,low,34,7,2010,2017,2013,0,39770.64949823274
2012,6365,6,low,35,8,2010,2017,2013,0,40713.15500109133
2013,6365,6,low,36,9,2010,2017,2013,1,48665.72018550971
2014,6365,6,low,37,10,2010,2017,2013,1,49538.45265900763
2015,6365,6,low,38,11,2010,2017,2013,1,50533.17085769759
2016,6365,6,low,39,12,2010,2017,2013,1,51318.064492218524
2017,6365,6,low,40,13,2010,2017,2013,1,52229.53834945224
2010,566,7,high,33,8,2010,2015,2015,0,48477.10617487423
2011,566,7,high,34,9,2010,2015,2015,0,49574.48066060105
2012,566,7,high,35,10,2010,2015,2015,0,50171.239808964114
2013,566,7,high,36,11,2010,2015,2015,0,51342.36244121453
2014,566,7,high,37,12,2010,2015,2015,0,51931.642683205544
2015,566,7,high,38,13,2010,2015,2015,1,59972.89704322304
2008,4526,8,medium,25,4,2008,2015,2015,0,39016.06137068218
2009,4526,8,medium,26,5,2008,2015,2015,0,39868.47290634781
2010,4526,8,medium,27,6,2008,2015,2015,0,40919.909238185995
2011,4526,8,medium,28,7,2008,2015,2015,0,41809.9896633711
2012,4526,8,medium,29,8,2008,2015,2015,0,42601.875186617646
2013,4526,8,medium,30,9,2008,2015,2015,0,43340.62059959649
2014,4526,8,medium,31,10,2008,2015,2015,0,44407.99525353725
2015,4526,8,medium,32,11,2008,2015,2015,1,52363.92041109568
2013,5678,9,low,46,9,2013,2017,2017,0,45150.18136111947
2014,5678,9,low,47,10,2013,2017,2017,0,46125.59352817917
2015,5678,9,low,48,11,2013,2017,2017,0,47143.354262943
2016,5678,9,low,49,12,2013,2017,2017,0,47891.387483725084
2017,5678,9,low,50,13,2013,2017,2017,1,55806.77683677576
2010,8422,10,medium,40,6,2010,2019,2017,0,45414.818173137915
2011,8422,10,medium,41,7,2010,2019,2017,0,46417.24357823923
2012,8422,10,medium,42,8,2010,2019,2017,0,47253.140001096035
2013,8422,10,medium,43,9,2010,2019,2017,0,48174.91056769643
2014,8422,10,medium,44,10,2010,2019,2017,0,49180.89568290202
2015,8422,10,medium,45,11,2010,2019,2017,0,49922.698430121935
2016,8422,10,medium,46,12,2010,2019,2017,0,50772.903773783226
2017,8422,10,medium,47,13,2010,2019,2017,1,58744.62893480019
2018,8422,10,medium,48,14,2010,2019,2017,1,59713.624231711925
2019,8422,10,medium,49,15,2010,2019,2017,1,60550.142675702606
2010,1785,11,medium,40,5,2010,2017,2016,0,45256.06385788214
2011,1785,11,medium,41,6,2010,2017,2016,0,45983.10251726833
2012,1785,11,medium,42,7,2010,2017,2016,0,46863.191577459555
2013,1785,11,medium,43,8,2010,2017,2016,0,47795.49623846529
2014,1785,11,medium,44,9,2010,2017,2016,0,48623.26176984877
2015,1785,11,medium,45,10,2010,2017,2016,0,49661.02995786334
2016,1785,11,medium,46,11,2010,2017,2016,1,57506.997461415005
2017,1785,11,medium,47,12,2010,2017,2016,1,58573.02113536444
2011,869,12,medium,28,9,2011,2015,2015,0,42120.877563780254
2012,869,12,medium,29,10,2011,2015,2015,0,43305.49226766366
2013,869,12,medium,30,11,2011,2015,2015,0,43951.87996647625
2014,869,12,medium,31,12,2011,2015,2015,0,44826.17691488517
2015,869,12,medium,32,13,2011,2015,2015,1,52767.53486723489
2011,7049,13,medium,45,5,2011,2016,2014,0,47395.12800857358
2012,7049,13,medium,46,6,2011,2016,2014,0,48095.9914862627
2013,7049,13,medium,47,7,2011,2016,2014,0,49052.94355116538
2014,7049,13,medium,48,8,2011,2016,2014,1,56881.610826227196
2015,7049,13,medium,49,9,2011,2016,2014,1,57790.992136681976
2016,7049,13,medium,50,10,2011,2016,2014,1,58649.41199467657
2008,2533,14,medium,46,5,2008,2017,2017,0,46655.074395885524
2009,2533,14,medium,47,6,2008,2017,2017,0,47599.45998918817
2010,2533,14,medium,48,7,2008,2017,2017,0,48617.83055098229
2011,2533,14,medium,49,8,2008,2017,2017,0,49162.55311251405
2012,2533,14,medium,50,9,2008,2017,2017,0,50411.08203093925
2013,2533,14,medium,51,10,2008,2017,2017,0,51202.79604270265
2014,2533,14,medium,52,11,2008,2017,2017,0,52013.2237217347
2015,2533,14,medium,53,12,2008,2017,2017,0,52895.22765170407
2016,2533,14,medium,54,13,2008,2017,2017,0,53954.36756453688
2017,2533,14,medium,55,14,2008,2017,2017,1,61772.89785381885
2012,5411,15,medium,48,6,2012,2020,2013,0,48646.59348813011
2013,5411,15,medium,49,7,2012,2020,2013,1,56736.30696033373
2014,5411,15,medium,50,8,2012,2020,2013,1,57714.43715354747
2015,5411,15,medium,51,9,2012,2020,2013,1,58585.786465878846
2016,5411,15,medium,52,10,2012,2020,2013,1,59337.314213046186
2017,5411,15,medium,53,11,2012,2020,2013,1,60165.79926959467
2018,5411,15,medium,54,12,2012,2020,2013,1,61167.40268590185
2019,5411,15,medium,55,13,2012,2020,2013,1,62425.39851260876
2020,5411,15,medium,56,14,2012,2020,2013,1,62845.5001051403
2008,5151,16,medium,46,6,2008,2017,2009,0,46815.726490351306
2009,5151,16,medium,47,7,2008,2017,2009,1,54839.20418897326
2010,5151,16,medium,48,8,2008,2017,2009,1,55687.54747524063
2011,5151,16,medium,49,9,2008,2017,2009,1,56579.97951042689
2012,5151,16,medium,50,10,2008,2017,2009,1,57702.4720998001
2013,5151,16,medium,51,11,2008,2017,2009,1,58314.6740057962
2014,5151,16,medium,52,12,2008,2017,2009,1,59298.57194522949
2015,5151,16,medium,53,13,2008,2017,2009,1,60220.190744180276
2016,5151,16,medium,54,14,2008,2017,2009,1,61019.52633149245
2017,5151,16,medium,55,15,2008,2017,2009,1,61855.93472611932
2012,6520,17,low,27,9,2012,2019,2018,0,38226.93176542525
2013,6520,17,low,28,10,2012,2019,2018,0,39281.36665758789
2014,6520,17,low,29,11,2012,2019,2018,0,40040.45828951175
2015,6520,17,low,30,12,2012,2019,2018,0,40909.00725869817
2016,6520,17,low,31,13,2012,2019,2018,0,41808.27304358005
2017,6520,17,low,32,14,2012,2019,2018,0,42674.15822641826
2018,6520,17,low,33,15,2012,2019,2018,1,50718.3482320141
2019,6520,17,low,34,16,2012,2019,2018,1,51449.455772620815
