year,business_id,personal_id,education_level,age,tenure,firm_entry_year,firm_exit_year,first_year_treatment,treatment,base_income
2010,100,1,high,49,6,2010,2019,2018,0,53597.39340992113
2011,100,1,high,50,7,2010,2019,2018,0,54377.93739424092
2012,100,1,high,51,8,2010,2019,2018,0,55501.87183527168
2013,100,1,high,52,9,2010,2019,2018,0,56315.83925119225
2014,100,1,high,53,10,2010,2019,2018,0,56963.95520000757
2015,100,1,high,54,11,2010,2019,2018,0,58136.42436147342
2016,100,1,high,55,12,2010,2019,2018,0,58892.86257475827
2017,100,1,high,56,13,2010,2019,2018,0,59869.65635476424
2018,100,1,high,57,14,2010,2019,2018,1,67850.80040042933
2019,100,1,high,58,15,2010,2019,2018,1,68595.03954153352
2010,100,2,medium,32,8,2010,2019,2018,0,42935.44073859582
2011,100,2,medium,33,9,2010,2019,2018,0,44150.554519190584
2012,100,2,medium,34,10,2010,2019,2018,0,45016.45834712019
2013,100,2,medium,35,11,2010,2019,2018,0,45791.27439868171
2014,100,2,medium,36,12,2010,2019,2018,0,46785.34214514921
2015,100,2,medium,37,13,2010,2019,2018,0,47563.061326793635
2016,100,2,medium,38,14,2010,2019,2018,0,48509.69701767609
2017,100,2,medium,39,15,2010,2019,2018,0,49385.57120573633
2018,100,2,medium,40,16,2010,2019,2018,1,57267.10559146427
2019,100,2,medium,41,17,2010,2019,2018,1,58235.93025800858
2010,100,3,low,48,5,2010,2019,2018,0,43829.18211763544
2011,100,3,low,49,6,2010,2019,2018,0,44824.84191692344
2012,100,3,low,50,7,2010,2019,2018,0,45781.44794724834
2013,100,3,low,51,8,2010,2019,2018,0,46833.810070796164
2014,100,3,low,52,9,2010,2019,2018,0,47433.24657846873
2015,100,3,low,53,10,2010,2019,2018,0,48502.05530577324
2016,100,3,low,54,11,2010,2019,2018,0,49413.01487764279
2017,100,3,low,55,12,2010,2019,2018,0,50062.32812693172
2018,100,3,low,56,13,2010,2019,2018,1,58191.053201440925
2019,100,3,low,57,14,2010,2019,2018,1,59138.02850789838
2010,100,4,low,38,7,2010,2019,2018,0,41008.86526793824
2011,100,4,low,39,8,2010,2019,2018,0,41841.60727451273
2012,100,4,low,40,9,2010,2019,2018,0,42783.32400365224
2013,100,4,low,41,10,2010,2019,2018,0,43666.98446972491
2014,100,4,low,42,11,2010,2019,2018,0,44381.05426616848
2015,100,4,low,43,12,2010,2019,2018,0,45469.332032475446
2016,100,4,low,44,13,2010,2019,2018,0,46313.292959401835
2017,100,4,low,45,14,2010,2019,2018,0,47179.5177829002
2018,100,4,low,46,15,2010,2019,2018,1,55398.49699535866
2019,100,4,low,47,16,2010,2019,2018,1,56175.26157196196
2010,100,5,medium,50,5,2010,2019,2018,0,48534.982793968564
2011,100,5,medium,51,6,2010,2019,2018,0,49584.66361965658
2012,100,5,medium,52,7,2010,2019,2018,0,50595.802527556436
2013,100,5,medium,53,8,2010,2019,2018,0,51200.3800845924
2014,100,5,medium,54,9,2010,2019,2018,0,52257.69831414072
2015,100,5,medium,55,10,2010,2019,2018,0,53162.40727257195
2016,100,5,medium,56,11,2010,2019,2018,0,53922.5507117501
2017,100,5,medium,57,12,2010,2019,2018,0,54987.95503046122
2018,100,5,medium,58,13,2010,2019,2018,1,62961.62463905181
2019,100,5,medium,59,14,2010,2019,2018,1,63900.804759141916
2010,100,6,low,30,8,2010,2019,2018,0,38375.0635898374
2011,100,6,low,31,9,2010,2019,2018,0,39550.16450351351
2012,100,6,low,32,10,2010,2019,2018,0,39994.203324660324
2013,100,6,low,33,11,2010,2019,2018,0,41135.62167098145
2014,100,6,low,34,12,2010,2019,2018,0,41858.770568007014
2015,100,6,low,35,13,2010,2019,2018,0,42909.01826374969
2016,100,6,low,36,14,2010,2019,2018,0,43747.809324989496
2017,100,6,low,37,15,2010,2019,2018,0,44750.68774563906
2018,100,6,low,38,16,2010,2019,2018,1,52587.31192858978
2019,100,6,low,39,17,2010,2019,2018,1,53417.40158219735
2010,100,7,low,47,8,2010,2019,2018,0,44273.9709052436
2011,100,7,low,48,9,2010,2019,2018,0,45443.24594974495
2012,100,7,low,49,10,2010,2019,2018,0,46194.35237384624
2013,100,7,low,50,11,2010,2019,2018,0,46879.78712934616
2014,100,7,low,51,12,2010,2019,2018,0,48005.078773511676
2015,100,7,low,52,13,2010,2019,2018,0,48830.5323337642
2016,100,7,low,53,14,2010,2019,2018,0,49750.46010870971
2017,100,7,low,54,15,2010,2019,2018,0,50731.98881539818
2018,100,7,low,55,16,2010,2019,2018,1,58668.32271737129
2019,100,7,low,56,17,2010,2019,2018,1,59364.11872720793
2010,100,8,medium,46,5,2010,2019,2018,0,47247.02583458446
2011,100,8,medium,47,6,2010,2019,2018,0,48095.388899726146
2012,100,8,medium,48,7,2010,2019,2018,0,49109.686218107425
2013,100,8,medium,49,8,2010,2019,2018,0,49926.769550626384
2014,100,8,medium,50,9,2010,2019,2018,0,50852.925147970185
2015,100,8,medium,51,10,2010,2019,2018,0,51722.97232389898
2016,100,8,medium,52,11,2010,2019,2018,0,52639.38804844307
2017,100,8,medium,53,12,2010,2019,2018,0,53720.46510059281
2018,100,8,medium,54,13,2010,2019,2018,1,61689.07661647677
2019,100,8,medium,55,14,2010,2019,2018,1,62387.70920937425
2010,100,9,medium,40,7,2010,2019,2018,0,45640.00302201831
2011,100,9,medium,41,8,2010,2019,2018,0,46390.43632391103
2012,100,9,medium,42,9,2010,2019,2018,0,47373.95818001886
2013,100,9,medium,43,10,2010,2019,2018,0,48337.32639642141
2014,100,9,medium,44,11,2010,2019,2018,0,49178.493677936254
2015,100,9,medium,45,12,2010,2019,2018,0,50089.00992371281
2016,100,9,medium,46,13,2010,2019,2018,0,51207.538947405614
2017,100,9,medium,47,14,2010,2019,2018,0,51952.879081373845
2018,100,9,medium,48,15,2010,2019,2018,1,59861.82119914019
2019,100,9,medium,49,16,2010,2019,2018,1,60682.580943966175
2010,100,10,medium,49,5,2010,2019,2018,0,48417.75447247696
2011,100,10,medium,50,6,2010,2019,2018,0,49178.742137201145
