year,business_id,personal_id,education_level,age,tenure,first_year_treatment,treatment,base_income
2007,202,1,medium,49,3,2013,0,46885.9781502643
2008,202,1,medium,50,4,2013,0,47796.68065999335
2009,202,1,medium,51,5,2013,0,48625.09234765566
2010,202,1,medium,52,6,2013,0,49522.16179929091
2011,202,1,medium,53,7,2013,0,50594.8842857719
2012,202,1,medium,54,8,2013,0,51558.0850586039
2013,202,1,medium,55,9,2013,1,59263.182905865644
2014,202,1,medium,56,10,2013,1,60237.55646338407
2015,202,1,medium,57,11,2013,1,60980.68417705109
2016,202,1,medium,58,12,2013,1,61959.094809827606
2017,202,1,medium,59,13,2013,1,62855.325852902686
2018,202,1,medium,60,14,2013,1,63952.42416328552
2019,202,1,medium,61,15,2013,1,64732.29997972783
2020,202,1,medium,62,16,2013,1,65460.65830591273
2007,448,2,high,49,5,2011,0,52182.16657531763
2008,448,2,high,50,6,2011,0,53195.61035917651
2009,448,2,high,51,7,2011,0,54217.26937065255
2010,448,2,high,52,8,2011,0,55132.41987675527
2011,448,2,high,53,9,2011,1,63074.58595418254
2012,448,2,high,54,10,2011,1,63716.341676068245
2013,448,2,high,55,11,2011,1,64856.446423855516
2014,448,2,high,56,12,2011,1,65702.55006680814
2015,448,2,high,57,13,2011,1,66647.319324946
2016,448,2,high,58,14,2011,1,67565.9190598429
2017,448,2,high,59,15,2011,1,68634.0746334103
2018,448,2,high,60,16,2011,1,69407.09851870174
2019,448,2,high,61,17,2011,1,70209.64164790303
2020,448,2,high,62,18,2011,1,71141.91021055977
2007,370,3,low,37,3,2014,0,38604.69722107835
2008,370,3,low,38,4,2014,0,39495.21293974182
2009,370,3,low,39,5,2014,0,40312.43232277935
2010,370,3,low,40,6,2014,0,41263.32178611137
2011,370,3,low,41,7,2014,0,42363.63051083452
2012,370,3,low,42,8,2014,0,43109.327933142005
2013,370,3,low,43,9,2014,0,44147.6042587427
2014,370,3,low,44,10,2014,1,52130.36612683986
2015,370,3,low,45,11,2014,1,52921.1587012326
2016,370,3,low,46,12,2014,1,53859.704464617906
2017,370,3,low,47,13,2014,1,54610.36648168707
2018,370,3,low,48,14,2014,1,55588.80121794931
2019,370,3,low,49,15,2014,1,56646.89412854324
2020,370,3,low,50,16,2014,1,57287.610166545994
2007,206,4,high,36,5,2017,0,47945.00053955072
2008,206,4,high,37,6,2017,0,48922.651646857536
